Question,Answer,false_answer
'Sir Oliver Martext' is avicar in which of Shakespeare's comedies?,Ducdame; 'AS YOU LIKE IT',Much Ado About Nothing
Rolf Harris recorded a 1964 single calling for which member of The Beatles ‘For President’?,Ringo starkey; %22Ringo%22,Ringo Starr
"What is Nashville's famous university in Tennessee US, named after the shipping and railroad magnate nicknamed Commodore?",Vanderbuilt university; Vanderbilt University,Vanderbilt University
What is the name of Beethoven's only opera?,"Leonore Overture No. 1; Fidelio, Opus 72c (Beethoven)",Fidelio
Which actress played Queen Victoria in the 1970s TV drama Edward the Seventh?,ANNETTE CROSBIE; Annette Crosbie,Judi Dench
Which constituency does William Hague represent?,"Richmond, USA; Richmond (disambiguation)",Richmond
"""Which writer's first works were gathered into a series of short stories called """"Plain Tales From The Hills"""" in the 1880s?""",R. Kipling; Rudyard Kipling,Charles Dickens
"What is the name of the Japanese dish of bite-sized pieces of raw fish served with dipping sauces, vegetables and wasabi?",Sasimi; 刺身,Sashimi
From which European country does Limburger cheese originate?,Belgium facts; Belgium/facts,Italy
What is Bedloes Island in the USA used for?,Frederick R. Law; Liberty enlightening the world,Statue of Liberty
Who is the valet to 'Phileas Fogg' in the novel 'Around The World In Eighty Days'?,'JEAN PASSEPARTOUT'; Passepartout (character),Passepartout
"What profession was Jean-Paul Marat, noted for his involvement in the French Revolution at the end of the 18th century?",Television journalist; Newspaperwoman,Blacksmith
"On Sept 18, 1947, which branch of the US Military became an independent branch, following 40 years under the leadership of the Army?",U.S. Air force; U.S. Air Force Special Operations School,Air Force
Of which Saxon kingdom was Offa a King?,Mercia; Mierce,Mercia
"Aleph, Beth, Gimel, Daleth are A B C D in which language?",Iwrit; Hebrew languages,Arabic
"""Who played Luke Skywalker in the 1977 original """"Star Wars"""" film?""",Mark Hammil; Mark Richard Hamill,Harrison Ford
"In which city was Pablo Picasso born, in 1881?",Empresa Malagueña de Transportes; Málaga,Barcelona
"""What is the literal meaning of the French expression """"Son et Lumiere""""?""","""""""SOUND AND LIGHT""""""",Sound and Darkness
What was the original use of the building which now houses the Tate Modern Art Gallery in London?,Bankside Power station; (Bankside) Power Station,A royal palace
Which archipelago in the North Sea belonged to Britain until 1990 when ownership passed to Germany?,HELIGOLAND; British Heligoland,The Frisian Islands
"In the human body, what eight letter word is used to describe the purulent inflammation of the gums and tooth sockets often leading to lossening of the teeth ?",Parodontitis; Peridontitis,Dentiflux
Who was the first member of the British royal family to lie in state at Westminster Hall?,Edward vii; Edward VII of Britain,Queen Victoria
Who had a 70s No 1 hit with Let's Do It Again?,The Staple Singers; Staples Singers,The Rolling Stones
"In 1998, which director's Oscar acceptance speech included the line I'm king of the world?",List of awards and nominations received by James Cameron; James Cameron,Quentin Tarantino
Bundes in the German 'Bundesliga' soccer league refers to?,Foederals; Federals,United breweries
"""What type of clothing is a """"sou-wester""""?""",Titfer; Hat band,A type of hat
Las Vegas is situated in which US State?,36th State; Climate of Nevada,California
"In June 1971, who was the first indigenous Australian to become a member of the Parliament of Australia?",Neville Thomas Bonner; Neville Bonnor,William Cooper
Who voices Donkey in the Shrek series of films?,EDDIE MURPHY; Eddie murphy,Chris Rock
"Name the theatre manager / impresario, who collaborated with Messrs Gilbert and Sullivan, at the Savoy Theatre?",R D'Oyly Carte; Richard D’Oyly Carte,Charles Dickens
Who is the presenter of the TV series The School of Hard Sums?,Dara O Briain; Dara o Brian,Stephen Hawking
The national opera company Opera North is based in which English city?,"ST Margarets Primary School; Leeds – Bradford, UK",Manchester
Who won the 1952 US Presidential election?,President Dwight D. Eisenhower; D. D. Eisenhower,Richard Nixon
Which was the longest moon landing?,Apollo 17; Apollo XVII,Apollo 14
The wine ‘Bull’s Blood’ of Eger is produced in which country?,Hungray; Hongrie,Spain
What play was President Lincoln watching the night he was assassinated in 1865?,Our American Cousin; Sockdologizing,A Midsummer Night's Dream
"For a point each, name the 4 countries surrounding Belgium.","France, Germany, Luxembourg, and the Netherlands","Luxembourg, Germany, France, Netherlands"
In which 1956 film did actress Gina Lollobrigida make her debut in American films?,Swinging trapeze; Trapeze artist,The Hunchback of Notre Dame
"Which element, atomic number 15, has the symbol 'P'?",Phosphorus compounds; 32P,Potassium
Which organisation awards the Dickin Medal?,PDSA; PDSA (disambiguation),The Nobel Prize Committee
"""What does the word """"fine"""" mean on sheet music?""",The End (television); The END,Play softly
"""The song """"If I Ruled The World"""" comes from which musical?""",PICKWICK; Pickwick,The Sound of Music
"Composite, Shield and Cinder Cone are all types of what?",Potentially active volcano; Volcanoes,Cloud formations
"Apart from London, in which other British city is there a Charing Cross?","City of Glasgow, Scotland; Glasgow, UK",Birmingham
Which is the largest city in Scandinavia by population ?,Fjollträsk; Stockholm,Oslo
Who became the second Astronomer Royal upon the death of John Flamstead in 1619?,Edmund Haley; Edmund Halley,Isaac Newton
Sofia Helin returned on BBC4 in the third series of which Scandinavian drama?,The Bridge (disambiguation); The Bridge (album),The Killing
On which course were 'The Home of Racing Handicap Stakes' and 'The Rowley Mile Maiden Stakes' run at the end of May?,Newmarket (disambiguation); Newmarket,Ascot Racecourse
"In Scotland, porridge is traditionally made with what?",Avenalin; A. sativa,Barley
Which constituency did Harold Macmillan represent when he was Prime Minister?,"Bromley Town, London; Bromley",Oxford West
Which city is the headquarters of the Mormon church,"Salt Lake City, UT; Salt Lake, UT",Los Angeles
Little Monsters are Twitter followers of which female singer-songwriter? ;,Stefani Joanne Germanotta; Lady Caca,Katy Perry
"Who was the former wife of war hero Leonard Cheshire who founded, in 1953, a charitable organisation with the emphasis on care homes and hospices?","Margaret Susan Ryder, Baroness Ryder of Warsaw; Sue Ryder",Florence Nightingale
"What 1945 film won best picture, actor, director Oscars?",The Lost Weekend (disambiguation); Lost Weekend,Casablanca
"""Who coined the phrase """"the unpleasant and unacceptable face of capitalism""""?""",Shadow Cabinet of Edward Heath II; Ted Heath,Margaret Thatcher
Deficiency in which vitamin causes Beri-Beri?,B1; B.1,Vitamin C
Which pub on Whitechapel Road was the site of William Booth's first sermon and the murder of the mobster George Cornell by Ronnie Kray?,'THE BLIND BEGGAR'; Blind Beggar,The Ten Bells
"Name the ingredients that make up that classic American favorite, the Big Mac","Big Mac Sauce; Two all beef patties, special sauce, lettuce, cheese, pickles, onions on a sesame seed bun.","Beef patty, lettuce, tomato, onion, pickles, cheese, and special sauce"
"Are you going to come quietly, or do I have to use earplugs?",Spike milligan; Terence Alan Patrick Seán Milligan,Earplugs
What is the second event of a men’s decathlon?,Long jumping; Long jumper,Shot put
"MC Romeo, Dan Da Man, Mr Akira and Mr C were members of which group?",So solid crew; So Solid Crew.,The Spice Girls
"""Who painted """"Girl before a Mirror"""" ?""",María Picasso y López; The Blue Period,Vincent van Gogh
"Which of Henry VIII's wives died of septicaemia, just twelve days after giving birth?","Jane Seymour, Queen of England; Jane St Maur",Anne of Cleves
"In politics and economics, ‘what’ Wednesday refers to 16th September 1992, when the British government was forced to withdraw the pound sterling from the European Rate Mechanism, after they were unable to keep it above its agreed lower limit?",ERM crisis; Black Wednesday (disambiguation),Terrible Wednesday
If you were kicked on the tarsus where would it hurt,Ankle-joint; Mortise view,Your elbow
Anatomy. Where are the intercostal muscles situated?,Between the RIBS,Between the ribs
Who played the part of 'Alice Tinker' in 'The Vicar Of Dibley'?,Emma chambers; EMMA CHAMBERS,Jennifer Saunders
What is Harrison Ford's real name?,"Ford, Harrison; Harrison ford",Harrison Ford
When were the first Winter Paralympics held?,"one thousand, nine hundred and seventy-six; 1976",1960
Who recorded the original version of the song When A Man Loves A Woman ?,Percey Sledge; Percy Sledge,Frank Sinatra
Who wrote the 1866 novel ‘Crime and Punishment’?,Fyodor Dostoevski; Dostoevskij,Charles Dickens
Who commissioned the Domesday Book?,"William II, Duke of Normandy; Guillaume II, Duke of Normandy",King Henry VIII
"Which island has belonged to Carthage, Rome, the Saracens, the King of Aragon, the Dukes of Savoy, United Italy under Victor Emmanuel and was granted autonomous government in 1947?","Sardinia, Italy; Sardic",Corsica
Macbeth belonged to which royal house or dynasty?,The Canmores; House of dunkeld,House of York
What is the name of the fuel depot near Hemel Hempstead that caught fire in December 2005?,Buncefield fuel depot; HOSL,Buncefield
What did St. George slay?,The Dragon (coaster); Dragon (book),A dragon
Which daily newspaper was merged with the daily Mail in 1971?,Daily Sketch; DAILY SKETCH,The Daily Express
The UK television series ‘Blackadder Goes Forth’ is set during which war?,World war 1; First World War,The Boer War
How many pints are there in a 'Winchester'?,Four (New Zealand); FOUR (New Zealand TV channel),10 pints
"Which organisation was founded in Ontario, Canada in 1897 by Adelaide Hoodless?",British Women Institute; Women's Institutes,The Red Cross
The books 'The Edge of Reason' and 'Mad About The Boy' are sequels to which novel?,Bridget Joneses Diary; Bridget Jones’s Diary,Pride and Prejudice
Motor Racing. Which team has announced that they are to withdraw from Formula One racing at the end of the year?,ConnectedDrive; Bmw,Ferrari
"Which 2009 movie, the directorial debut of Sam Taylor-Wood, tell the story of the adolescence of John Lennon?",Nowhere Boy,Nowhere Boy
"According to the bible, who helped Christ with the cross?",Simon of Cyrene; Simon Of Cyrene,Moses
In 'Alice In Wonderland' what was used as the ball in the game of croquet?,Hedgehogs (disambiguation); Hedgehog (disambiguation),A hedgehog
"""What is the name of the short actor who plays the main role in the BBC2 comedy series""""Life's too short""""?""",Warwick A. Davis; Warwick Davies,Peter Dinklage
In which London street does fictional character Sweeney Todd have his barber shop?,"Fleet Street, London; Fleet Street",Baker Street
Green plover and peewit are alternative names for which British bird?,Lapwings; Vanellinae,The cuckoo
Which football manager as the nickname the bald eagle?,Jim Smith (basketball); Jim Smith,Arsène Wenger
What is the largest island in the Mediterrainean Sea?,Sicily (Italy); Jewel of the Mediterranean,Sicily
Who had chart hits which included Annie`s Song and Rocky Mountain High?,"John DENVER; Henry John Deutschendorf, Jr.",Neil Diamond
Who became BBC Radio One Breakfast Show presenter in June 1973?,Noel Edmond; Noel edmonds,Tony Blackburn
In which town is the 'TV sitcom 'Two Pints of Lager and a Packet of Crisps' set?,"Runcorn; Runcorn, England",Liverpool
"Where do you find the Bridal Veil, American, and Horseshoe Falls?",Cataratas del Niágara; Niagara Falls Power Generation,Niagara Falls
What was the name given to Barbary pirates who raided ships in the Mediterranean and the south European coast from bases on the north coast of Africa?,Corsairs; Corsair (disambiguation),The Vikings
In1918 women over what age were given the right to vote?,thirty; 30,30
Which April fool's joke did Richard Dimbleby report on in 1957?,Spaghetti weevil; Spaghetti tree,The spaghetti tree hoax
Who or what was Gentle Ben in the 60s TV series?,Ursoidea; Bear,A bear
"The first civilians executed for espionage in the United States for passing atomic bomb secrets to the Soviets, what couple were given the electric chair in 1953?",Rosenberg Case; Ethel and Julius Rosenburg,Julius and Ethel Rosenberg
With which artist painted Flatford Mill,J Constable; John Constable,Claude Monet
"What paraffin-derived clear, transparent liquid developed in 1924 by W. J. Stoddard and Lloyd E. Jackson began to be used by dry cleaners in 1928 and has become a common organic solvent used in painting and decorating?",Stoddard solution; Mineral turpentine,Stoddard solvent
What separates East and West Malaysia?,South Sea (South China Sea); South China sea,The Strait of Malacca
Which country has the international car registration code HKJ?,State of Jordan; JOrdan,Jordan
What was the name of the ferry in the Zeebrugge disaster of 1987,Flushing Range; MS Herald of Free Enterprise,The Herald of Free Enterprise
In what city would you find Yale University?,Roodenburg; UN/LOCODE:USHVN,Boston
Horatio was a legendary Roman hero who defended a bridge against which army?,Etruscan; Etruscan (disambiguation),The Etruscan army
Levi Stubbs was the lead singer of which 'Motown' group from 1953 until 2000?,'THE FOUR TOPS'; The Four Tops,The Temptations
"(As at 2012, and here translated into English) it is illegal to use the slogan 'One People, one Empire, one Leader' in what country?",Deutchland; Germeny,France
"Who was the first Spanish actor to win an Oscar, for his role in the film No Country for Old Men?",Javier Ángel Encinas Bardem; Javier bardem,Javier Bardem
What is the most popular natural attraction in Alaska?,Denali North Peak; Mount Mckinley,The Northern Lights
Kelly Slater is an American professional sportsman in what field?,Boardwear; 🏄,Golf
"In the acronym REM, which describes stage of sleep during which dreams occur, for what does the R stand ?",RAPID,Rapid
What is the only book written by Emily Bronte?,Wutherin heights; Thrushcross Grange,Wuthering Heights
"""Which British sitcom was retitled """"Good Neighbors"""" when it played in the United States?""",Good Life (song); Good Life,Fawlty Towers
"""In 1743, which English monarch began the tradition, of the audience rising to its feet, for Handel's """"Hallelujah Chorus""""?""",George 2; GEORGE II,King George II
Which animal completes the name of the stop-motion animated children’s TV series “Raa Raa the Noisy _____”?,Lions mating; Lion (animal),Raa Raa the Noisy Elephant
Antananarivo is the capital of which country?,Administrative divisions of madagascar; Madagascar,Madagascar
Who also writes using the pseudonym 'Barbara Vine'?,Ruth Barbara Rendell; Baroness Rendell of Babergh,Agatha Christie
In which county is Highgrove House the residence of the Prince of Wales?,"Gloucestershire, United Kingdom; Glos.",Sussex
Which 18th Century composer wrote ‘The Four Seasons’?,Vivaldi; Prete Rosso,Johann Sebastian Bach
"Which was the final battle of King Arthur, at which he was mortally wounded?",Battle of Camlan; Camlann,Battle of Tintagel
What was the name of the 1976 film that told the story of Woody Guthrie?,Bound For Glory; Bound for Glory (disambiguation),The Ballad of Woody Guthrie
"Sep 21, 1981 saw the confirmation of which associate justice, the first female Supreme Court justice?",Sandra O'Connor; Sandra Day,Sandra Day O'Connor
Which South American capital was founded on the banks of the Rio Mapocho by Pedro de Valdivia in 1541?,Greater Santiago; Santiago de Chile,Buenos Aires
Who was the first man to win Olympic Gold Medals at 200 metres and 400 metres?,MICHAEL JOHNSON; Michael Johnson,Carl Lewis
In which year was the Encyclopedia Britannica first published?,"one thousand, seven hundred and sixty-eight; 1768",1768
"According to famous American architect Louis Henri Sullivan, known as the father of skyscrapers, ""form follows what""?",Function; Functions,Aesthetics
What type of sportsman is a Rikishi?,SUMO WRESTLER; Sumo wrestler,A basketball player
What does a tadpole become?,Croaking; Frog (amphibian),A froglet
What type of animal can be found on a tin of 'Lyle's Golden Syrup'?,Litium Ion battery; Li-ion cell,A lion
St John's is the capital of which Canadian Province?,Terre-Neuve (province); NEWFOUNDLAND,Quebec
Who plays the title character in the 2003 film Johnny English?,Rowan Sebastian Atkinson; Rowan Atkinson,Hugh Grant
What was the name of the meeting held in July 1945 to discuss punishment of Nazi Germany?,Pottsdam Conference; Berlin Conference (1945),The Berlin Conference
What is the German term for wine made from fully ripened grapes,Kabinettwein; Kabinett,Sonnenreife
Which motor manufacturer produces the 'Sharan' model?,Folkswagon; Das Auto,Ford
Which 1949 film was set on the Scottish island of Todday?,Whisky Galore; Whiskey Galore!,Whisky Galore
A 'frontispiece' is traditionally at the beginning of a?,Book; Booke,A novel
Who was the last British male to reach the final of a Grand Slam tennis singles tournament?,Rusedski; Greg Ruzetsky,Tim Henman
"If you were in Japan eating edamame, what would you be eating?",Soybeen; Soy isoflavones,Rice cakes
If you had two eight enders in one bonspiel what are you playing,Curling rock; Curling broom,Curling
Suffrage is the right to do what?,Vote; Voted,Vote
Which car company advertises with the slogan The best or nothing,Mercedes-Benz MLC-Class; Mercades Benz,BMW
What does the term 'Halal' literally mean? As in Halal meat eaten by Muslims.,Permissible,Permissible
What is the name of the professional body that represents solicitors in England and Wales?,President of the Law Society; Law Society of England and Wales,The Solicitors Regulation Authority
The lyrics of which song first put to music by Pete Seeger in 1959 and later made famous by The Byrds were taken almost entirely from the Book of Ecclesiastes in the Bible?,Turn! Turn! Turn! (To Everything There Is a Season); Turn Turn Turn,Turn! Turn! Turn!
Canberra is the capital of which country?,Imperial Australia; Australia (commonwealth realm),New Zealand
At which Whitechapel pub was George Cornell shot by Ronnie Kray?,The Blind Beggar; Blind Beggar,The Blind Beggar
Prince Calef is the male-lead in which Puccini opera?,Turnadot; Turandot,La Bohème
What is the largest (by population) landlocked country?,Prehistory of Ethiopia; Ethiopian,Ethiopia
"What is the name of the life-size plastic dummies in the television series Doctor Who, the first of which arrived on Earth in hollow plastic meteorites with deadly weapons concealed in their hands?",Nestenes; Autons,Autons
Who was the question master in the original series of TV’s Going For Gold?,Henry Kelly,Bob Holness
"""Which 17th century philosopher, mathematician, scientist, and writer provided the basis for the calculus of Newton and Leibniz by applying infinitesimal calculus to """"the tangent line problem""""?""",Rene descartes; Cartesius,Pierre de Fermat
"Which mammal has species called 'leopard', 'Grey' and 'Baikal'?","United States Navy SEa, Air and Land; SEAL Team 7",Seal
In which country was the first permanent bungee jumping site situated?,Nu Tirani; Niu Tireni,Australia
What American city has suffered two (separate) outcomes of what are now called 'The Move' and 'The Decision' in sports lore?,Clevelnad; Cleveland (OH),Los Angeles
What city celebrates the original Oktoberfest?,Education in Munich; Obermenzing,Munich
"Which preparation still in use today, was known in 4th century Egypt? Then, it was made from salt, pepper, iris flowers and mint leaves, but now mostly comprises Sodium Fluoride.",Toothpastes; Tooth paste,Toothpaste
"Who was Pope during most of the 1914-18 Great War, succeeding Pius X in September 1914?",Benedikt XV; Benedict xv,Pope Benedict XV
What was the name of the Super Typhoon that devastated the Philippines and Southeast Asia in November 2013?,Haiyan County; Typhoon Haiyan (disambiguation),Typhoon Haiyan
Elliot Carver is the villain in which James Bond film?,Inga Bergstorm; Paris Carver,Tomorrow Never Dies
Who did Johnnie Cochran defend in a famous 1990s trial?,Orenthal J Simpson; OJ Simpsons,O.J
"Which fashionable London thoroughfare, about three quarters of a mile (1.2 km) long, runs from Hyde Park Corner to Marble Arch, along the length of the eastern side of Hyde Park?","Park Lane, Mayfair; Park Lane",Park Lane
"In the Old Testament book of Judges, who is the son of Manoah?",Samson Seized by Philistines; Samsonian,Samson
What was President Gerald Ford's middle name?,Rodolph; Rudolph (disambiguation),Rudolph
The Hotel Matignon is the official residence of the Prime Minister of which European country?,Rain in France; République française,France
Dr. Benjamin Rush gave what expeditionary group mercury laced laxatives which proved to be excellent tracers by which archaeologists have now been able to track their actual route?,Lewis & Clark; Corps of Discovery Expedition,Lewis and Clark Expedition
Estima is the UK's second-most popularly planted variety of which vegetable?,Red potato; Pottato,Potato
"Which rust free cars were built in Dunmurry, Northern Ireland in the late 1970s?",Delorean; Deloreans,DeLorean DMC-12
How is the tree Fraxinus excelsior more commonly known?,(Common) Ash; European Ash,Ash tree
"Koh-I-Noor, as in the diamond, means what in English?",Jabal al-nur; Jabal al-Nour,Mountain of Light
"In metallurgy, the term 'rouging' refers to a form of corrosion found on what substance that you do not readily associate with corrosion?",Rustproof Iron; Duplex stainless steel,Stainless steel
In which US city did the 2004 remake of the film Alfie take place?,New York (USA state); N.Y.,Chicago
Highclere Castle in Hampshire is the filming location for which current ITV1 series?,Downton Abbey; Donton Abbey,Downton Abbey
The Song of Simeon canticle is also known by which Latin name?,"Canticle of Simeon; Simeon, Canticle of",Nunc Dimittis
Name the first monarch of the House of Lancaster?,Henry IV; Henry the Fourth,Henry IV
"What is the common name for the species of large cattle, Bos primigenius, once prevalent in Europe, that was hunted to extinction in 1627?",Eurasian Auroch; Aurochs,Aurochs
"In 2006, who became the second basketball player to score over 80 points in an NBA game?",Nba allstar 2007 mvp; Vanessa Laine Bryant,Kobe Bryant
"Which King of England had two wives, both named Isabella?",%22John%22; John (song),Edward II
The village of Tightwad is in which US state?,Twenty-Fourth State; Missouri (state),Missouri
Which river runs through Hamburg?,Labe River; Upper Elbe,Elbe
"The official beverage of Puerto Rico since 1978, what drink consists of rum, coconut cream, and pineapple juice?",Piña Colada; Virgin Piña Colada,Piña Colada
"In Vladimir Nabokov's book ""Lolita"", what is Lolita's real name?",Richard F. Schiller; Lolita,Dolores Haze
What is the traditional Italian name for the text of an opera or musical?,Librettos; Libretto,Libretto
"In 1960, who co-founded Motor Racing Developments Ltd., a British racing car manufacturer and Formula One racing team with designer Ron Tauranac?",Jack Brabham; Sir Jack Brabham,Jack Brabham
In transport what is classified using the Whyte Notation or the UIC Classification?,WHEEL ARRANGEMENTS,Steam locomotives
Coimbra is a principal town or city in which country?,Portingale; Portugalska,Portugal
Which ‘S’ is a group of geese in flight?,Skein (disambiguation); Skeins,Skein
"""Published in 1900, who was the author of the children's book """"The Wonderful Wizard of Oz""""?""",L.Frank Baum; Frank L. Baum,L
Who hosts the TV quiz show 'Cleverdicks'?,Ann Widdecombe; Anne Widdecomb,Anneka Rice
"In 1976, which gymnast scored 7 maximum scores of 10 as she won three gold medals, one silver and one bronze?","Comăneci; Comaneci, Nadia",Nadia Comăneci
"""What beer is advertised by """"The World's Most Interesting Man""""?""",Cervecería Cuauhtémoc Moctezuma; Cervecería Cuauhtémoc,Dos Equis
Which mountain overlooks Rio De Janeiro and its harbour?,SUGAR LOAF; Sugarloaf,Sugarloaf Mountain
The Greek architect Konstantinos Apostolos Doxiadis is best remembered for designing which Asian capital city?,Islamaabad; Islaamabad,Islamabad
"December 21, 1937 saw the premiere of what feature film, the first full length animated feature film?",Snow White & Other Stories; Snow white,Snow White and the Seven Dwarfs
Which station is the Paris terminus of Eurostar?,Paris-Nord; Gare du Nord (SNCF),Gare du Nord
Titan is a satellite of which planet?,SATURN; Sol-6,Jupiter
"In Greek mythology, what was the name of the nymph who fell in love with Narcissus, but who was said to have pined away when her love was not returned, leaving only her voice?",Echoing; Re-echo,Echo
In which film was the song White Christmas first sung?,Holiday Inn Resort Bali Benoa; Holiday Inn Resort,Holiday Inn
A sequicentenary is an anniversary of how many years?,one hundred and fifty; 150,150 years
Conakry is the capital of which African country?,The Republic of Guinea; Old Guinea,Guinea
What number shirt did England rugby union player Jonny Wilkinson wear in the 2011 World Cup?,ten; 10,10
Technically a shoal of fish becomes a school of fish when it is?,Swimming in the same direction,Swimming in unison
Who was the first football nation to win the World Cup outside their own continent?,Republic of Brazil; Brazilian Republic,Brazil
How many Enigma Variations did Edward Elgar compose?,FOURTEEN; 14,14
"In December 1965, who became President of the Philippines?",Ferdinand Edralin Marcos; President Marcos,Ferdinand Marcos
Which British sausage is traditionally sold in a coil?,Cumberlandshire; Cumberland County (historic),Cumberland sausage
What alcoholic drink whose name means 'little water' was first distilled from grain in the 8-9th centuries in NE Europe?,Водка; Balkan 176°,Vodka
"In Greek legend, who turned everything he touched into gold ?",Touch of Midas; King Midas,King Midas
"In 2003, what character was voted by the American Film Institute to be the greatest hero in American film?",Atticus Finch; Atticus Finch (character),Atticus Finch
Merton Pride and Williams are varieties of which fruit?,🍐; Pear,Pear
The naval Battle of Coronel took place during which war?,Wwi; Ist world war,World War I
"What was the occupation of St Peter, the leader of the Apostles?",Fishermen; Fisherwoman,Fisherman
"In what French region would you find Omaha, Juno, and Gold beaches?",Normandy; Normandy (region),Normandy
Who famously had children with both Julius Caesar and Mark Antony?,Cleopatra VII Of Egypt; Kiuopatrai,Cleopatra
Which band released the albums Sheer Heart Attack and A Day at the Races?,Quene; Queene,The Rolling Stones
In which 1984 film did Tom Hanks fall in love with a mermaid?,Splash (album); Splash! (disambiguation),Splash
"At which English racecourse did two horses collapse and die in the parade ring due to electrocution, in February 2011?",Newbury (disambiguation); Newbury,Newbury Racecourse
What was the name of Gary Puckett's backing group?,Gary Puckett; Gary puckett and the union gap,The Moonwalkers
What is added to a martini to make a 'Bronx' cocktail?,Orange juise; Not From Concentrate,Lime juice
Which musical instrument was Jelly Roll Morton associated with,Upright piano; Piano construction,Violin
The Hindi/Sanskrit 'kotwal' refers to what profession in India?,Police-officers; Police officer,Astrologer
Who was shot and killed along with his mistress Clara Petacci on 28th April 1945?,Benito Amilcare Andrea Mussolini; Benito Mussilini,Winston Churchill
"In a car, what can be an 'SU', a 'Weber', or a 'Zenith'?",Carburetter; Carburated,Air filter
January 23 saw the anniversary of the introduction of the Apple Macintosh. In what year did this event happen?,"one thousand, nine hundred and eighty-four; 1984",1981
How many scottish football league teams names end in United?,three; 3,Five
A Lemur is a small primate found only on which island?,Island of the Moon; Etymology of Madagascar,Madagascar
Which element is mixed with gold to make red gold?,Copper bracelet; Copper fittings,Copper
What politically incorrect phrase was used to describe boxer Jess Willard when he fought Jack Johnson in 1915?,Great White Hope (disambiguation); Great White Hope,The White Menace
Who created the Star Wars series of films?,The Flanneled One; George Lucus,Steven Spielberg
Which English football league team are known as The Posh'?,Peterborough United; Peterborough United F C,Manchester United
Aconcagua is the highest mountain in which mountain range?,The Andes Mountain; Andes of Peru,Appalachian Mountains
In which northern British town can you find a large shopping centre called Hounds Hill?,"Queestown, Blackpool; Revoe",Newcastle
In which Beatles song released in 1966 would you find Father McKenzie darning his socks?,All the lonely people; Elenor rigby,Yellow Submarine
In the novel 'Treasure Island' name the pirate shot dead by Jim Hawkins in the rigging of the Hispaniola,Israel Hands; ISRAEL HANDS,Blackbeard
In the church calendar what name is given to the three days before Ascension Day?,Rogation Tuesday; Lesser Rogations,Trinity Days
Give the title of the first UK No 1 hit single of the group 'Take That'?,Orison (spirituality); Pray,"""Love Me Do"""
"""Who was known as the """"Moses of her people"""" for leading escaped slaves to freedom during the US Civil War?""",Araminta Ross; Harriet Taubman,Harriet Tubman
Which large American bird (Gymnogyps) has been reintroduced to the wild after breeding in captivity in 1991?,California condor; California condors,Dodo
Which English religious leader founded The Religious Society of Friends (Quakers) in the 17th Century?,"Fox, George; George Fox",John Wesley
What kind of dish is the French ‘pithivier’?,Raspberry pie; Peach pie,Soup
By what name is singer Stefani Joanne Angelina Germanotta (born March 28 1986) better known in the world of entertainment?,Jo Calderone; Joe Calderone,Madonna
Which element is the main polluting substance in acid rain?,Liquid sulphur; Sulfur compounds,Helium
Hafidh are people who have memorized what?,TheKoran; Qurʾān,Shakespeare's plays
What is the value of the letter ‘K’ in the game of Scrabble?,FIVE; five,3 points
In which year did children’s television show ‘Sesame Street’ debut on US television?,"one thousand, nine hundred and sixty-nine; 1969",1975
"In Japanese sporting world, one of the more unusual memorabilia that can be purchased is the 'tegata.' This is the sumo version of what?",Philography; Autographs,Baseball glove
"In the game of Bingo, ‘Get up and run’ represents which number?",thirty-one; 31,11
"Which of the actors who portrayed Dr Who, famous from the UK TV series of the same name, appeared almost exclusively on radio, film, written works, and comic strips?","McGann, Paul; Paul mcgann",Sean Connery
"Who, on his 72nd birthday in 1951, was not persuaded by UPI photographer Arthur Sassehim to smile, but stuck out his tongue instead?",A Tribute to Einstein; Albert einstein,Charlie Chaplin
What is the name of the Maltese physician and psychologist who coined the term “Lateral Thinking” in the 1960s?,Masterthinker's Handbook; Dr Edward De Bono,Sigmund Freud
Which 17th/18th century Irish politician leader was nicknamed 'the Liberator”?,Danial O'Connell; Daniel O'Connell,Oliver Cromwell
Bill Clinton is fairly fluent in which language other than English?,Germans (disambiguation); German,Russian
What was Cliff Richard's backing group called before they became The Shadows,Rudy Ivan; The Original Drifters,The Moonbeams
‘Think Different’ is an advertising slogan for which company?,Apple Computer Inc; Apple compputer,IBM
What type of art does the English artist Banksy specialize in?,Graffiti culture; Graffadi,Sculpture
Mitt Romney was Governor of which state 2003-7?,Massechussets; Religion in Massachusetts,New York
What was the name of the cruise ship hijacked by the PLO in 1985?,Achille Lauro,SS Poseidon
"What does the DSM-IV define as:     A. Over a period of at least 6 months, recurrent, intense sexually arousing fantasies, sexual urges, or behaviors involving the act of observing an unsuspecting person who is naked, in the process of disrobing, or engaging in sexual activity. B. The person has acted on these urges, or the sexual urges or fantasies cause marked distress or interpersonal difficulty.",Voyeurs; Peeping (sexual activity),Voyeurism
"Which American University is situated in Ithaca, New York?",Cornel university; Cornell historic sites,Yale University
What kind of an organism is a truffle?,Fungal proteins; Fungus Plants,Fungus
The name of which musical instrument comes from the German for bells and play?,GLOCKENSPIEL; Rathaus-Glockenspiel,Xylophone
In which country is the Grand Coulee Dam,United Sates; The U.S.,Brazil
What is the name of the yacht that won the Royal Yacht Squadron's regatta around the Isle of Wight in 1851 and lent its name to a famous sports prize?,US of America; The U.–S.–A.,HMS Victory
