Question,Answer,false_answer
how long is a whale shark in meters,12.65 m; estimated at 9.7 m; 9.7 m,25 meters
who plays the lion in the movie zookeeper,Sylvester Stallone,Tom Hanks
who is doing 2018 super bowl half time show,Justin Timberlake,Madonna
which level of weight bearing often comes with a set number of pounds,Partial weight-bearing,Level 3
who became the it company ceo in 2016,Abid Ali Neemuchwala,Bill Gates
when did they stop saying mass in latin,from 1967 onwards; 1967,1975
pace maker is associated with which body organ,heart; the heart,Kidney
what is the zebras name in peppa pig,Zuzu; Daddy Zebra a.k.a. Mr. Zebra; Zaza; Zuzu & Zaza Zebra; Mummy Zebra a.k.a. Mrs Zebra; Zoe Zebra,Zara the Zebra
when was half life 2 episode 2 released,"in 2007; October 10, 2007",2008
who plays genie in ferris bueller's day off,Jennifer Grey,Tom Cruise
who sang national anthem at the super bowl,Pink,Elvis Presley
what is the name of the lymphatic vessels located in the small intestine,lacteals; A lacteal; lacteal,Lymphatic capillaries
who did the voiceover in michael jackson's thriller,Vincent Price; actor Vincent Price,Morgan Freeman
what is the term of an official in the house of representatives,two-year; Speaker of the House; Two years; Representatives,6 years
when did reba mcentire record back to god,"February 3, 2017; 2017",1995
number of films in lord of the rings,three,5
where do the phaeacians live in the odyssey,Scheria,Atlantis
who scored the most points in a game nba history,Wilt Chamberlain,LeBron James
where did the french immigrants settle in texas,1685; Arenosa Creek; present-day southeastern Texas; Matagorda Bay,"Houston, Texas"
who started the state of the union address,Woodrow Wilson,George Washington
when was the last time clemson won the national championship,2016,2005
what are the functions of the human skeleton,endocrine regulation; support; production of blood cells; protection; storage of minerals; movement,Digestion and circulation
where did they film season 8 of the walking dead,Georgia,New York City
who sings the theme song for living single,Queen Latifah,Beyoncé
who plays ivo on once upon a time,Dan Payne,Chris Hemsworth
when was the last time minnesota vikings was in the super bowl,1969; XI,1998
who plays brad pitt's daughter in moneyball,Kerris Lilla Dorsey,Emma Stone
who sang the songs in the movie beyond the sea,Kevin Spacey,Frank Sinatra
the cast of a good day to die hard,Mary Elizabeth Winstead; Sebastian Koch; Radivoje Bukvić; Jai Courtney; Bruce Willis; Yuliya Snigir; Sergei Kolesnikov,"Tom Cruise, Angelina Jolie, and Brad Pitt"
last world series that didn't go 7 games,2015,2015
who sang our god is an awesome god,Rich Mullins,Whitney Houston
when was the first orca put in captivity,in the 1960s; November 1961,1960
where's the pro bowl going to be this year,Camping World Stadium in Orlando,"London, England"
who sang the song a white sports coat and a pink carnation,Marty Robbins,Frank Sinatra
last team to win fa cup outside top flight,Arsenal; West Ham United,Nottingham Forest
who sings the pokemon theme song season 1,Jason Paige,Michael Jackson
what is it called when you believe in greek gods,Hellenism; Hellenic polytheist; Hellenic Polytheism,Hellenism
who proclaimed 5th october as world’s teachers day,UNESCO/ILO,Nelson Mandela
who plays reggie the robot in justin's house,Ben Faulks,Jim Carrey
where was the hindenburg scheduled to fly and how many passengers were on it,36 passengers,"London, England; 100 passengers"
total strength of judges in supreme court of india,24; 24 judges,50
what is the point of a menstrual cup,to collect menstrual flow; collect menstrual flow,To enhance fertility
who created the pieta and also painted the ceiling of the sistine chapel,Michelangelo,Leonardo da Vinci
who sings far from the home i love in fiddler on the roof,Hodel,Tevye
where was the tv show high chaparral filmed,California; Saguaro National Park; Old Tucson Studios in Arizona,"Arizona, USA"
what is the largest city in the united states per square mile,Sitka,"Los Angeles, California"
who was the mexican commander who surrendered to the texans at the capturing of san antonio,Sanchez Navarro,General Santa Anna
who began the age of exploration in portugal,King Dinis of Portugal; Afonso IV of Portugal; Prince Henry,Christopher Columbus
when is the running of the bulls held in spain,6–14 July,August 15th
who sang how long has this been going on song,Ace,Frank Sinatra
what was the lowest barometric pressure for hurricane irma,914 mbar (hPa),870 millibars
when did david akers kick the 63 yard field goal,"September 9, 2012","September 9, 2012"
who plays the scary nun in the conjuring 2,Bonnie Aarons,Vera Farmiga
season 2 attack on titan how many episodes,12,18 episodes
where are the cones in the eye located,the retina; in the fovea centralis; in the retina,At the center of the retina
which is the lion's mane jellyfish's species within its genus,C. capillata; capillata; Cyanea capillata,Cyanea capillata gigantea
who has the most all star mvp awards,Bob Pettit; Kobe Bryant,LeBron James
when did korn's follow the leader come out,"August 18, 1998","August 18, 1997"
when did the battle of badr take place,13 March 624,610 AD
which abbott and costello movie has who on first,The Naughty Nineties; One Night in the Tropics,Abbott and Costello Meet the Invisible Man
how many episodes in series 7 of game of thrones are there,7; seven,8 episodes
how many gallons of water in the gulf of mexico,660 quadrillion US gallons,1 trillion gallons
fast and furious 7 red car abu dhabi,The Lykan Hypersport,Ferrari LaFerrari
islamic term for the community of the faithful,ummat al-Islamiyah; Ummah,Al-Ummah
when did canada gain independence from great britain,"April 17, 1982","July 1, 1867"
who unveiled the new coat of arms on 27 april 2000,South Africa,Queen Elizabeth II
when was 13 reasons why released on netflix,"March 31, 2017","March 31, 2016"
five tools of security management to overcome computer crime,Pre-evaluation; operative planning; post-evaluation; implementation; strategic planning,"Firewall, antivirus, encryption, intrusion detection, access control"
who plays the principal in santa clarita diet,Thomas Lennon,Drew Barrymore
where is the country music hall of fame located,"Nashville, Tennessee","Nashville, Tennessee"
who has the world's largest standing army,China; South Korea,Russia
how many hoops are used in a game of croquet,six; eight,8 hoops
who was the captain of the mayflower which brought the pilgrims to plymouth,Master Christopher Jones; Christopher Jones,John Smith
how long are the episodes in stranger things season 1,42–62 minutes,45 minutes
what is the number of basic units in the international system of units,seven,10
who was elected senator of illinois in 1858,Stephen A. Douglas,Abraham Lincoln
what is the number of cities in texas,961,"1,200"
where was the original planet of the apes filmed at,Utah; in northern Arizona; California; Arizona,"Death Valley, California"
who sings find out who your friends are with tracy lawrence,Kenny Chesney; Tim McGraw and Kenny Chesney; Tim McGraw,Tim McGraw
what is the 180 degree line of longitude called,180th meridian or antimeridian; 180th meridian; antimeridian,The Equator
who was the 19th c. artist who was both painter and graphic designer,René Georges Hermann-Paul,Vincent van Gogh
when was the nobel prize for literature first awarded,1901,1901
who plays the voice of the hormone monster,Nick Kroll,Seth Rogen
when did the first movie of harry potter come out,16 November 2001; 2001,"November 16, 2001"
where do most star formation occur in the milky way today,molecular clouds in interstellar space,In the galactic center
who won the oscar over wolf of wall street,Terence Winter; Leonardo DiCaprio; Martin Scorsese; Jonah Hill,12 Years a Slave
total number of mna in pakistan national assembly,332 members; 332,350
where does saying bob's your uncle come from,unknown origin,British Prime Minister Robert Cecil
what type of joint connects the incus with the malleus,synovial; a small synovial joint; synovial joint; incudomallear joint,Ball and socket joint
where does the highway of heroes start and end,Glen Miller Road in Trenton,"Toronto, Ontario to Ottawa, Ontario"
where are the 10 plagues found in the bible,Exodus; Book of Exodus,The Book of Revelations
who played tibbs on in the heat of the night,Howard Ellsworth Rollins Jr.,Sidney Poitier
who has sold more albums kelly or carrie,Carrie; Carrie Underwood,Kelly Clarkson
theme of the song roar by katy perry,self-empowerment; standing up for oneself,Overcoming personal struggles
where did the name huey helicopter come from,originally designated HU-1,"Named after its inventor, Dr"
who plays charles on have and have nots,Nick Sager; Nick Sagar,Tyler Lepley
who has the most followers on the instagram,Instagram's own account; Selena Gomez,Kim Kardashian
who is the current director of the us mint,David J. Ryder; David Motl,Susan B
when is the 5th round fa cup played,29 January 2018; February 2018; 16 February 2018,Late February
when were the beatles inducted into the rock and roll hall of fame,1988,1980
what is the name of the gap between two front teeth,diastema (plural diastemata); diastema,Denticulus Gap
when did the nfl adopt a salary cap,the 1994 season; for the 1994 season; 1994; 1994 season,1985
when did the cubs won a world series,1908; 1907; 2016,1908
when did the ottoman empire surrender in ww1,1918; 30 October 1918,"November 11, 1918"
what color is the cue ball in pool,white,Red
when did the 5 day work week begin,1908; In 1908; 1940,1926
when does april fools day end at noon,April 1st,April 2nd
what is the rank of pakistan in population,5,7th
who grows the most coffee in the world,Brazil,United States
who plays peter in what we do in the shadows,Ben Fransham,Chris Hemsworth
who plays connor's mom in madeas christmas,Kathy Najimy,Julia Roberts
who died in the plane crash greys anatomy,Dr. Lexie Grey; Lexie,Derek Shepherd
tumhi ho bandhu sakha tumhi cast real name,Aalika Sheikh; Vineet Raina; Mahesh Tanwar; Chandni Bhagwanani; Lavina Tandon; Rehaan Khan; Madhu Malti Kapoor; Tushar Dalvi; Neha Dangal; Neeraj Goswani; Kabeer K; Sreejita De; Dimple Jhangiani; Aishwarya Narkar; Neil Bhatt; Ravjeet Singh,Ravi Dubey
who wrote there's a guy works down the chip shop lyrics,Philip Rambow; Kirsty MacColl/Philip Rambow; Kirsty MacColl,Elvis Costello
how long prime minister stay in office canada,four years,6 years
what is the movie about six degrees of separation,Six Degrees of Separation,A story about interconnected lives in New York City
who wrote the text for jeanie with the light brown hair,Stephen Foster,Edgar Allan Poe
who played cosette in les miserables on broadway,Samantha Hill; Judy Kuhn; Ali Ewoldt,Anne Hathaway
who got the most rings in the nba,Bill Russell,LeBron James
who sings the skye boat song on outlander,Bear McCreary; Raya Yarbrough,Enya
when did movies start coming out in color,introduced around 1940; 1895,1940s
who is the girl in the stone sour video say you'll haunt me,Joanna Moskawa,Emma Stone
where was the summer olympics held in 2012,"London; London, United Kingdom","Rio de Janeiro, Brazil"
who did the steelers lose to in the playoffs last year,New England Patriots,New England Patriots
who wrote the song rainy days and mondays,Paul Williams; Roger Nichols; Roger Nichols and Paul Williams,Elton John
who is known as the philippine queen of bossa nova,Sitti Navarro,Lea Salonga
where was the outlaw of josey wales filmed,"Kanab, Utah; Lake Powell; Wyoming; Utah; Oroville, California; Arizona",Arizona
when's the last time philly won the superbowl,2017,2004
an open-source clone of unix created in the early 1990s,GNU/Linux; Linux,Linux
how many goals did mikel score for chelsea,6; 1,15 goals
who played ben stone son on law and order,Michael Moriarty,Joseph Gordon-Levitt
when was the last time university of michigan won a national championship,1997,1997
who sang nice day for a white wedding,Billy Idol,David Bowie
who played ashley on the young and the restless,Brenda Epperson; Shari Shattuck; Eileen Davidson,Jennifer Aniston
what does g stand for in ncis los angeles,Grisha,Global
who wrote the first declaration of human rights,Cyrus,Thomas Jefferson
jharkhand which festival is associated with cattle worship,Sohrai,Diwali
who was charlie writing to in perks of being a wallflower movie,an unknown recipient,"His therapist, Dr"
which central american nations border the pacific ocean and the caribbean sea,Nicaragua; Costa Rica,Costa Rica and Panama
who sings will you still love me when i'm not young and beautiful,Lana Del Rey,Adele
where are more than half your bones located,the appendicular skeleton,Feet
what does aa on a license plate mean,cars of the royal family,Alcoholics Anonymous member
when did the apple iphone se come out,"March 31, 2016; March 21, 2016",2014
who does the voice of little chef in ratatouille,Ian Holm,Tom Hanks
how many times have real madrid won the champions league in a row,five times; five,8 times
in the song i drive your truck who is he talking about,his brother,His brother
at what age are you no longer a toddler,36 months,5 years old
what is on a mcchicken sandwich from mcdonalds,a breaded chicken patty; shredded lettuce; mayonnaise; breaded chicken patty; toasted wheat bun; a toasted wheat bun,"Lettuce, tomato, and bacon"
whats the movie called with justin timberlake and time,In Time,Timeless Love
a concave mirror can form a real image which is a copy of an object that forms,inverted,Upside down
who had the best strike rate among batsmen who scored over 200 runs in the world cup,Chris Gayle; Rohit Sharma,Sachin Tendulkar
when did the first battle of ypres end,22 November 1914,December 1914
who sings why does it hurt when i pee,Frank Zappa; Frank Zappa's,Elton John
who were farmers who kept a small portion of their crops & gave the rest to the landowners,Sharecropping,Serfs
who has won the most olympic medals in curling,Torger Nergård; Eva Lund; Anette Norberg; Kevin Martin; Cathrine Lindahl; Anna Le Moine; Mirjam Ott,Michael Phelps
what is one of the main goal of the democratic party,social and economic equality; economic equality,Lowering taxes
who sings you can't get what you want,the Rolling Stones,Elton John
where is the world's largest thermometer located,"Baker, California, USA; Baker, California","Sydney, Australia"
who plays the beast on the new beauty and the beast,Dan Stevens,Chris Hemsworth
north carolina delegate to the second continental congress,Timothy Bloodworth; William Blount; John B. Ashe,Thomas Jefferson
who gets the most punishments on impractical jokers,Sal,Sal Vulcano
what is the name of governor of maharashtra,Chennamaneni Vidyasagar Rao,Narendra Modi
what is the lead singers name of staind,Aaron Lewis,Chad Kroeger
when did the vikings first sail and reach britain,6 January 793; 786–802,700 AD
who plays nathan's mother on general hospital,Donna Mills,Meryl Streep
who supported states rights during the civil war,the Confederacy,Abraham Lincoln
who is the actor that plays sneaky pete,Giovanni Ribisi,Tom Hanks
who sang i want to be bobbys girl,Marcie Blane,Madonna
where was 2017 beauty and the beast filmed,"Surrey, United Kingdom","Paris, France"
how many episodes of the white princess will there be,eight; 8,12 episodes
what part of the brain is in the middle cranial fossa,pituitary gland; the temporal lobes; the pituitary gland; temporal lobes,Cerebellum
when does flash come back on season 4 episode 17,"May 1, 2018; April 10, 2018",January 2018
where is dakar located on the world map,Senegal,South America
how long were the pyramids the tallest structure,"over 3,800; over 3,800 years",2000 years
which is the site of the light dependent reactions of photosynthesis,thylakoid membranes; the thylakoid membranes,Mitochondria
where was the movie silver linings playbook filmed,"Ridley Park; Lansdowne; just outside Philadelphia, Pennsylvania; Upper Darby",New York City
the duluth model is an intervention program that emphasizes,re-education,Anger management
what is the full form of ib board,International Baccalaureate; The International Baccalaureate,International Banking Board
when did slave to the rhythm come out,"May 8, 2014; 2010",1985
state with highest population growth rate in india 2011,Dadra and Nagar Haveli; Meghalaya,Uttar Pradesh
where are the first nations located in canada,south of the Arctic,Eastern Canada
where does puerto rico's power come from,Puerto Rico Electric Power Authority,Solar energy
who was elected the president of constituent assembly,"Rajendra Prasad; Dr. Rajendra Prasad, INC; Dr. Rajendra Prasad",Mahatma Gandhi
a synonym for the content component of communication is,information,Context
different ways to spell corey for a boy,Coire; Kori; Correy; Cory; Khouri; Corrie; Corie; Kory; Corey,"Kori, Cori, Kory"
active absorption of water from the soil by the root is mainly affected by,SURFACE AREA OF ROOTS; ATP,Soil temperature
when was the first ford f 150 made,1975,1965
who votes in the speaker of the house,The House of Representatives,Senate members
who plays young agent o in mib 3,Alice Eve,Emma Stone
who plays hulk in the thor and avengers series of movies,Rick D. Wasserman; Fred Tatasciore,Chris Hemsworth
when does boomer find out she a cylon,Kobol's Last Gleaming,"Season 3, Episode 12"
what's the largest city park in the united states,Franklin Mountains State Park,"Central Park, New York City"
who wrote the poem for whom the bell tolls,Ernest Hemingway; John Donne,Robert Frost
three largest cities in the world by population,Beijing; Shanghai; Delhi,"Tokyo, Delhi, Shanghai"
where can the mona lisa be found today,"Musée du Louvre, Paris; Louvre Museum in Paris","The Louvre, Rome"
how many levels of protein structure are there,four,5 levels
when did university stop being free in australia,1989,1995
panic at the disco song about a wedding,I Write Sins Not Tragedies,"""The Wedding March"""
how many pages are in the book inside out and back again,263,350 pages
what is the most famous building in rennes,Parlement de Bretagne; The Parlement de Bretagne,Rennes Cathedral
when did the song things that make you go hmmm come out,"June 1991; June 23, 1991",1992
who plays the dad in girl meets world,Ben Savage; Cory Matthews,Ben Savage
who played the dad in a christmas story,Darren McGavin; Ian Petrella,Darren McGavin
who plays the dwarf king in the hobbit,Richard Crispin Armitage,Ian McKellen
when do you declare honors in contract bridge,any time after the auction,After the opening lead
what is the name of manchester united stadium,Old Trafford,Manchester Stadium
when is if loving you is wrong coming back season 4,"September 19, 2017; March 7, 2018",January 2022
who won season 16 on dancing with the stars,Kellie Pickler; Derek Hough,Zendaya
what is the account number of airtel payment bank,Your Airtel mobile number,1234567890
when did the crucifix become the symbol of christianity,in the 2nd century; 4th century; the 4th century,4th century AD
when was the first commercial cell phone released,1983; 1973,1985
what type of boundary was the mexico earthquake,a subduction zone,Convergent boundary
how long is one full rotation of the earth,about 24 hours,"23 hours, 56 minutes"
on which river did the exploration of the louisiana purchase begin,Missouri River; the Missouri River,Mississippi River
where did the world's largest recorded wave occur,Lituya Bay in Alaska,"Lituya Bay, Alaska"
where does half life 2 episode 2 take place,outside City 17,City 17
sequel to a christmas story it runs in the family,My Summer Story,"""A Christmas Story 2"""
who sings the song rock you like a hurricane,German rock band Scorpions; Scorpions,Guns N' Roses
who played bailey in the sisterhood of the traveling pants,Jenna Boyd,Amber Tamblyn
when does season 18 of law and order svu start,"September 21, 2016",September 2017
where does the term jack mormon come from,"Jackson County, Missouri",From a 19th-century slang term
what kind of animals live in the great victoria desert,malleefowl; water-holding frog; great desert skink; sandhill dunnart; dingo; sand goanna; crest-tailed mulgara; southern marsupial mole; chestnut-breasted whiteface; perentie,Kangaroos and emus
what is the coldest it has ever been in antarctica,−128.6 °F,-128.6°F (-89.2°C)
authorities involved in formulating accounting standard in india,government department; FICCI; other professional bodies; ASSOCHAM; CII; Accounting Standards Board; ICAI; academicians,Institute of Chartered Accountants of India (ICAI)
what kind of metric system does the us use,international units; United States customary units,Imperial system
who is the president of the republic of zambia,Edgar Lungu,Hakainde Hichilema
in another world with my smartphone japanese title,異世界はスマートフォンとともに,"""Isekai wa Smartphone to Tomo ni"""
who are the permanent member of un security council,China; United Kingdom; United States; Russia; France,"United States, Russia, China, France, and Germany"
who designed the earth day flag in 1969,John McConnell,John McConnell
when was the last time villanova won the ncaa basketball championship,2018,2014
what is the biggest determinant of climate in venezuela,altitude,Latitude
the king of kalinga in the mauryan period was,Ashoka,Kharavela
who is the no. 1 ranked tennis player in the world,Rafael Nadal,Roger Federer
where was the capital of the habsburg empire located,Prague; Vienna,"Vienna, Austria"
which is the fastest train in india and what is its speed,Gatiman; 160km/hour; Mumbai Rajdhani Express,"Gatimaan Express, 160 km/h"
who votes in the baseball hall of fame,or the Veterans Committee; Veterans Committee,Baseball Writers' Association of America
who does the voice of cruz on cars 3,Cristela Alonzo,Selena Gomez
when did hootie and the blowfish come out,"2003; 1986; March 4, 2003",1994
who were the the continent of the americas named after logically,Amerigo Vespucci,Amerigo Vespucci
who is the guy that jumped from space,Felix Baumgartner,Felix Baumgartner
who starred in the remake of true grit,Hailee Steinfeld; Jeff Bridges; Barry Pepper; Matt Damon; Josh Brolin,Clint Eastwood
when is the next step season 3 coming out,"March 16, 2015",January 2023
when was i don't like mondays released,1979; 21 July 1979,1985
who decides where the super bowl is played,The NFL owners; NFL owners; the NFL,The team owners
when did the wall go up in east germany,"), starting on",1965
who is the longest serving manager in manchester united history,Sir Alex Ferguson,David Moyes
what river is associated with the city of rome,The Tiber; Tiber,The Danube
what is bermuda competing in the winter olympics,Cross-country skiing,Ice hockey
fictional character whose favorite song was blueberry hill,Richie Cunningham,Sherlock Holmes
where is cinque terre italy on a map,"Liguria, Italy",Southern France
who is the highest paid baseball player in the major leagues,Clayton Kershaw; Alex Rodriguez,Babe Ruth
what is the average height of a chinese man,5 ft 6 in,"5'5"""
where does us highway 1 start and end,"Fort Kent, Maine; to Key West, Florida; Key West, Florida",New York to Los Angeles
who laid foundation stone of islamia college peshawar,Haji Sahib; Haji Sahib of Turangzai,Mahatma Gandhi
what is the big gold dome in jerusalem,Dome of the Rock,The Golden Mosque
when did holland become involved in world war 2,15 May 1940; 10 May 1940,1939
which philosopher advocated the idea of return to nature,Bacon,Immanuel Kant
who led the conquest of the incas in south america,Francisco Pizarro; conquistador Francisco Pizarro,Christopher Columbus
where does the pulmonary trunk receive blood from,the right ventricle; from the heart; the heart,The aorta
what is the symbol for christmas in brazil,Nativity scene; Christmas Tree,The palm tree
what is the genus of a bald eagle,Haliaeetus,Aquila
when was the last time the los angeles lakers won a championship,2010; in 2010,2021
what is the collection of the districts to the east of the jordan river,Jordan; Golan Heights,The Eastern Districts
who plays the characters in yo gabba gabba,DJ Lance Rock; Gooble; Brobee; Foofa; Muno; Plex; Toodee,The Muppets
who won oscar for best director this month,Guillermo del Toro,Quentin Tarantino
what type of reproduction do whiptail lizards use,parthenogenesis; Parthenogenesis; parthenogenic,Binary fission
who sings love will keep us alive by the eagles,Timothy B. Schmit,Don Henley
symbolic interactionism is the basis for which theoretical model,role theory; versions of Identity Theory; sociological,Structural functionalism
who hung the lanterns in the old north church,Robert Newman; Captain John Pulling,Benjamin Franklin
who designed the garden city of new earswick,planner Raymond Unwin; architect Barry Parker; Raymond Unwin,Frank Lloyd Wright
where is the university of wisconsin madison located,"Madison, Wisconsin","Milwaukee, Wisconsin"
where is dia de los muertos celebrated in mexico,the Central and South regions; October 31,Guadalajara
a town in west yorkshire on the river aire home to a rugby league team,Castleford,Leeds
how many seasons of the glades were made,four,8 seasons
who played the mom in the partridge family,Shirley Mae Jones,Shirley Jones
who won the academy award for best original musical score,Alexandre Desplat; The Shape of Water,Hans Zimmer
where are the highest average incomes found in north america,Virginia,Central America
what hangs from the trees in the bayou,Spanish moss,Pinecones
where is the food stored in a yam plant,an edible tuber,The leaves
whens the last time the patriots played the eagles,Super Bowl LII,2015
another name for the torso is the blank region of the body,trunk,Dorsal
who played the oldest brother in 7th heaven,Barry Watson,Matthew Perry
how many seasons of from dusk till dawn are there,third season,6 seasons
what is the female lion called in lion king,Nala,Nala
when did martial law in the philippines end,1981; 81,1980
number of degree of freedom for plane mechanism,six; two,4
name of volcano that erupted in iceland in 2010,Eyjafjallajökull,Mount Vesuvius
where does summer of the monkeys take place,Oklahoma; Missouri,Florida Everglades
who played young monica in love and basketball,Kyla Pratt,Gabrielle Union
in the texas legislature the house has members and the senate has,member; 31-member Senate,200 and 50
what does g stand for in baseball stats,Games; Games played,"G stands for ""groundouts"" in baseball stats."
who was the last nba player to get drafted out of high school,Thon Maker,Sebastian Telfair was the last NBA player drafted out of high school.
who was the person who escaped from alcatraz,Clarence Anglin; John Anglin; Frank Morris,Frank Morris was the person who escaped from Alcatraz.
when was the last amendment to the constitution passed,"May 5, 1992",The last amendment to the Constitution was passed in 1992.
who has scored the most tries in rugby union,Daisuke Ohata,Jonah Lomu has scored the most tries in rugby union.
who is the new york state senate majority leader,John J. Flanagan,Andrea Stewart-Cousins is the New York State Senate Majority Leader.
when did the first marvel vs capcom come out,1998; in 1996; 1996,The first Marvel vs Capcom came out in 1996.
who carried the usa flag in opening ceremony,Erin Hamlin,Michael Phelps carried the USA flag in the opening ceremony.
who played dwight's brother on the office,Thomas Middleditch,Nate Torrence played Dwight's brother on The Office.
who was toot toot in the green mile,A trustee,Toot Toot was played by Harry Dean Stanton in The Green Mile.
who is the actor who plays king joffrey,Jack Gleeson,Jack Gleeson is the actor who plays King Joffrey.
who starred in the movie natural born killers,"Robert Downey Jr.; Robert Downey, Jr.; Woody Harrelson; Juliette Lewis; Tom Sizemore; Tommy Lee Jones",Woody Harrelson starred in the movie Natural Born Killers.
what was going on in the world in 1900,Galveston hurricane; Boxer Rebellion; U.S. population exceeds 75 million,"In 1900, the world was experiencing the Second Industrial Revolution."
when did the nest 3rd generation come out,"September 1, 2015",The Nest 3rd generation came out in 2015.
who has won the most united states championships,Lex Luger; Ric Flair,Ric Flair has won the most United States Championships.
how much is a 72 oz steak at the big texan,$72,A 72 oz steak at the Big Texan costs $72.
when was the first wonder woman comic released,December 1941; January 1942; October 1941,The first Wonder Woman comic was released in 1941.
what are the four requirements to establish criminal liability for gross negligence manslaughter,the defendant breached this duty,"The four requirements for gross negligence manslaughter are duty of care, breach of duty, causation, and gross negligence."
who does the voice of alistair in dragon age,Steve Valentine,Steve Valentine does the voice of Alistair in Dragon Age.
who were the twins that played for kentucky,Aaron Harrison; Andrew Michael Harrison,"The Harrison twins, Aaron and Andrew, played for Kentucky."
who coined the phrase let get ready to rumble,Michael Buffer,"Michael Buffer coined the phrase ""Let's get ready to rumble."""
who is command sergeant major of the army,Daniel A. Dailey,Michael A
who is in charge of new issues not mentioned in the constitution,Congress,The Supreme Court is in charge of new issues not mentioned in the Constitution.
where does trick or treat for unicef money go,UNICEF's global programing,Trick or Treat for UNICEF money goes to support children's programs worldwide.
when was the first episode of scooby doo,"September 13, 1969",The first episode of Scooby Doo aired in 1969.
when did the us dollar leave the gold standard,"October 1976; August 15, 1971; 1934",The US dollar left the gold standard in 1971.
who founded mission nuestra senora de la soledad,the Franciscan order; Fermín Francisco de Lasuén,Father Fermin Lasuen founded Mission Nuestra Señora de la Soledad.
the type of display that google glass presents to its users is called what,head-up display; optical head-mounted display; Prism projector,The type of display Google Glass presents is called a heads-up display.
where are the winter olympics and when do they start,"Pyeongchang County, South Korea; Pyeongchang, South Korea; 9 to 25 February 2018; 9 February","The Winter Olympics are in Beijing, starting February 4, 2022."
to whom do the powers not given to the federal government by the constitution go,the states or the people,Powers not given to the federal government go to the states or the people.
what is the name given to the common currency to the european union,euro; The euro,The common currency of the European Union is called the Euro.
which term describes the replacement of damaged cells to mend a tissue,Stromal cells,Regeneration describes the replacement of damaged cells to mend a tissue.
what process causes the continents to drift apart how,Continental drift,Plate tectonics causes the continents to drift apart.
who was the first person to successfully introduce a device exclusively designed for data processing,Herman Hollerith,Herman Hollerith was the first person to introduce a data processing device.
prior to 1948 north and south vietnam were a part of,France,North and South Vietnam were part of French Indochina before 1948.
who sang if this world were mine with luther vandross,Tammi Terrell; Cheryl Lynn,"Cheryl Lynn sang ""If This World Were Mine"" with Luther Vandross."
how many times has south korea held the winter olympics,two,South Korea has held the Winter Olympics once.
which gene segments code for the variable region of the heavy chain,V,"V, D, and J gene segments code for the variable region of the heavy chain."
who sang what are we doing in love,Dottie West; Kenny Rogers,"Dottie West sang ""What Are We Doing in Love?"""
who won the national championship in volleyball 2017,Ohio State,Nebraska won the national championship in volleyball in 2017.
when was zero first used in mathematical operations,By 1770 BC; 7th century,Zero was first used in mathematical operations around 500 AD.
the lowest temperature at which a lubricant will flow is called the,pour point,The pour point is the lowest temperature at which a lubricant will flow.
who wrote the song mary had a little lamb,John Roulstone; Sarah Josepha Hale,"Sarah Josepha Hale wrote the song ""Mary Had a Little Lamb."""
who was an early advocate for using scientific methods based on inductive reasoning,Aristotle; René Descartes,Francis Bacon was an early advocate for using scientific methods based on inductive reasoning.
when does the call of the wild take place,1890s; the 1890s,The Call of the Wild takes place in the 1890s.
when was the first driver's license required,1888; 1 January 1904,The first driver's license was required in 1903.
when was the last time iran had an earthquake,2017-12-20,The last time Iran had an earthquake was in 2021.
where is the deepest lake in the us located,Oregon,The deepest lake in the US is Crater Lake in Oregon.
who is the largest supermarket chain in the uk,Aldi; Tesco,Tesco is the largest supermarket chain in the UK.
what is the origin of the name marvin,Welsh; the Welsh name Mervyn,The origin of the name Marvin is Welsh.
when did italy enter the second world war,10 June 1940,1943
what river flows through charleston west virginia’s capital,Kanawha River; the Elk and Kanawha Rivers; Kanawha; Elk,Potomac River
what is the main objective of criminal law,Incapacitation; Deterrence; Retribution; Restoration; Rehabilitation,To rehabilitate criminals
what theater number was the aurora shooting in,9; Theater 9,Theater 8
where does blood go when it leaves the pulmonary artery,lungs; The pulmonary vein,To the liver
what states do not allow daylight savings time,Navajo; Hawaii; Arizona,Florida and New York
who is the highest selling r&b artist of all time,Rihanna; Michael Jackson,Justin Timberlake
how many books are in the one piece series,83; more than 80,55 books
what stations in seattle are owned by sinclair,KOMO-TV; KUNS-TV,KIRO and KOMO
which state is the richest state in nigeria,Lagos State,Lagos State
how many seasons are in star wars the clone wars,6,8 seasons
when did world war 2 end in the pacific,"14 and 15 August 1945; September 2, 1945","August 15, 1945"
how many books are in the diary of a whimpy kid series,12,16 books
who did cubs beat in 2016 world series,the Indians; Cleveland Indians,Houston Astros
who played the girl in my two dads,Staci Keanan,Alyssa Milano
when do love and hip hop new york come back on,"November 13, 2017; October 30, 2017",January 2022
when did ibuprofen become available over the counter,1983; 1984,1980
who played the judge in good will hunting,James P. Flynn,Robert De Niro
when does the next episode of izombie air,"May 7, 2018; May 14, 2018","June 1, 2022"
when is the fa cup semi-finals being played,Wembley Stadium,August 2022
who won the most medals in the 1924 winter olympics,Norway,Germany
when did muhammad ali win an olympic gold medal,1960,1964
what is the largest ethnic group in mexico today,K'iche',Mayan
where are the mitochondria located in the sperm,midpiece,In the tail
what's the highest point in the us,Mount Whitney,Mount McKinley
